,0,1,2,3,4,5,6,7,8
10351.3122343245_24143.9475780398,0.12252848974168078,419.7935264689336,324.61998420570717,0.26655212496658465,0.14202286013928517,62.060380749148024,0.16076717758227863,68.57678623178192,0.13294094292503583
10351.3122343245_25143.9475780398,0.12251875883157845,18.427575619667135,1543.218595330495,0.26757407363559654,0.14203113087708638,214.14232244459643,0.16085037172477915,0.2609809292001329,0.13304050257735586
10351.3122343245_26143.9475780398,0.10794667027372583,187.58820144062912,981.6916089095228,849.852692330901,0.630885071598615,11.035492376803136,0.3261079248550114,0.2343227035057662,0.14406695223775723
10351.3122343245_27143.9475780398,0.0903061753953922,159.1357333599522,628.7090712236137,979.751623574861,3000.319388278893,0.1259866641884943,0.21275826601933276,0.066835095300462,8.775781647719713
10351.3122343245_28143.9475780398,0.161698159667846,503.08293405605883,3841.2454444134214,0.10719351100319284,1094.631678906846,134.5330624665232,36.86062210717994,0.3827386723254308,16.216751758828195
10351.3122343245_29143.9475780398,0.14625857103005466,0.21402419221397387,3153.6025386449564,1139.1197698789879,196.13093571449178,207.19577137272418,0.7640528041047807,12.010868955681874,0.091084529838127
10351.3122343245_30143.9475780398,106.00133779272649,1007.8502660585591,2876.2157037659763,0.23826691645643674,3388.6738713175296,7.781282067038247,504.2500982884114,246.89638224450968,6.954453593468289
10351.3122343245_31143.9475780398,0.11936507922230866,85.21999664790593,2798.293771498055,0.3730238757491146,860.1873858283029,970.2174212742364,0.3477607845365205,1.863876428882038,0.1544976435743376
10351.3122343245_32143.9475780398,0.16649051840891305,696.653151833203,1876.7828594821888,1118.9374212761809,0.24759841140850083,963.4574380631301,0.1896213432733739,44.740094454886524,85.12144182741923
10351.3122343245_33143.9475780398,0.06962421114735147,315.38038368817774,2926.1942835242376,2710.954885164214,80.42894682201126,339.0814866528991,78.92207259502358,371.78137655310826,20.281807310563458
10351.3122343245_34143.9475780398,0.1141856128550653,868.3029239822489,219.8519707243218,0.10988978612051088,877.4773809218501,0.12773100553657293,845.4975627502876,0.11642004680443474,1882.6113933407369
10351.3122343245_35143.9475780398,0.07744594161352858,2313.8543765672534,0.11081587356702942,0.2593196493378244,10.773547284239484,0.07206857324878177,2.0323278075879037,0.07377829008690967,2021.3697539473153
10351.3122343245_36143.9475780398,0.08003074725794247,3235.148944781195,927.9353102299244,57.79120731442514,0.3112572777632751,0.07277865220442906,31.363718494646452,0.07311126214530732,458.012161723345
10351.3122343245_37143.9475780398,89.72587318904569,2455.602031488582,1705.8356317607947,1095.0308338871316,0.7132419512427779,377.4328858945271,0.30377001749023047,225.97207887739918,198.2905111507252
10351.3122343245_38143.9475780398,0.2550988540914277,4817.608951109989,913.1109558304842,16.676452368112756,65.33548341218686,6.994564011396289,127.1584325498609,109.25871100196494,1781.713429548763
10351.3122343245_39143.9475780398,20.390682188643588,667.0524085685802,4675.504039688718,86.9092781937054,1591.4803910175265,30.268443317282188,250.26158724628434,217.5298138430165,0.21450505003673326
