,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
0,435098.4689716061,592682.6146638127,2868463.890737534,28505846.017512716,999405.0278255935,104865.72498598919,12682891.616875505,44667670.8569102,1117744.7890238129,415537.99812285276,3610998.1243499983,4115963.3746248255,753089.2905752918,4747971.194927229,11377423.178599207,4443785.8265451975,30709444.87113536,2688114.0771296173,1425776.4349560528,662430.7574230792,5755062.221503347,2030437.667744126,794024.0057260306,44091.051139348965,955254.8778590517,1400467.5532887985,761600.646460953,2412613.4630547734,223905.82424100206,689852.7954683433,836865.7609529227,2181202.0169479623,20502625.531714298,1146870.8433644613,447901.5015022667,171796.40404976718,47946.908032821004,27682870.669192586,9.302595817874717e-05,34645.33634375512,328.25774362156676,497258.50689699705,3263407.7699641883,479617.66771288845,19011.691322719835,31.68373383167517,1211674.6276427405,6355030.768257105,7733198.49924206,17661384.108338322,1714051.2304012207,1123608.834626345,149665.95144061156,12403.588754481645,965995.6661220181,967977.7362259035,10078190.64532439,63886708.2162435,248414.62310703754,1027433.2497150962,5317212.640370506,7992704.130549669,6841724.387862854,44766695.06430967,3973450.5770185366,2247001.193844968,188985.36125510818,1316651.208212946,925807.9111178262,299226.73657744564,211273.06397462904,901441.3038497089,1839048.849979179,511106.9212465332,5139486.6343439,380.19472749218346,645744.9071000353,7354907.915638618,310756.1040032865,10349982.247933345,29.733603100722508,1526995.918137178,8075255.814568051,8374.011333797162,2841062.532427184,782209.8858150541,3352250.6073430073,8471071.84171149,252823.57837033397,586694.8292192474,2155396.214484642,21501000.33401988,14107.317173096293,56179655.521898046,13340360.63822985,1844.1794803354064,5496313.256849751,50789.54388581051,5464308.645025768,1290249.9889724615,20428694.86483009,62761.60896991886,5655074.709802579,81699.18240787991,4372844.1994160935,1467582.71073875,42884.63872803361,1429318.8254021362,584663.1039609911,20138910.738188807,2260311.113529846,1375586.1727996839,265848.0572710398,614325.0925610922,8053920.164717355,91775.35012396776,371.4284936524019,1859737.050254437,459393.3193369783,2475335.0259414315,7168.72669122474,1687619.6467871843,0.004694087008313909,1998143.392585538,1.6213867150051253,28967330.875391617,470878.9849713967,5529432.236727401,1868150.5796858447,2903810.716083961,9595334.716752432,2222746.2648788956,1127206.9213043428,823018.4285131627,132596.2044695719
1,72156.07997639258,117916.58911549997,1063404.8643082574,226712.86979604716,133548.76707431438,9953226.880177647,30103.979108218216,83304.15774290031,153756.26899705795,113292.25640267077,4813849.875966139,44854.15020177441,88745.29739066226,6.95319273408044,6562.70405296341,173908.41216510098,1219966.321539935,631940.96086023,3584064.6121153645,2707885.6469512633,17127230.88567924,838814.4379238979,364731.3992335012,144753.75120505533,27715.66825842428,8755.518405791463,91870.14725974765,149536.23924730116,1666076.9568089806,130766.26492893207,27648.031133749493,83152.36619173893,938924.6052730979,370664.0334986161,55109.664204017834,86381.58371873442,3669795.647684249,8409.918655910595,15795.868838292923,491176.91230971576,0.00018550292647720774,47574.31571452463,367244.4903630981,131237.41892944396,139017.17949062202,4897.0920009698,637328.7680688362,1.4376427551834532,19556.87136803175,419.2785420497584,246415.65810685995,290706.9114488152,231861.06075750175,268686.1612910997,983382.6274494563,45301.559162892554,8.86314705872944,921022.6612522259,750942.6129883777,588133.7272011056,343211.7887898792,5687511.846731993,1757951.3135172008,142019.81197598335,529.4445277820503,218290.71283960136,384416.18767752434,204190.6498469276,40016.813323814546,214564.98746070577,3277321.810552748,1303556.6219222588,105954.79849748146,173718.93916014288,33323961.648019977,87.51477222207366,182178.54371761114,875073.2876328042,9809.73988101531,27758.960411373497,16842.945094071543,627241.7613251734,1357236.948346074,49465.544239833864,27803.61346527584,138066.39380004222,569613.2495011435,333765.5489199588,32075.06350530258,1058221.3778058405,342402.63591321424,280258.5759229295,164179.49802328725,64784.94054834703,238865.27930326664,640.2293619358579,70906.76997011859,2487349.5752718565,182993.5408925732,1288403.4598128465,583.3667529623351,88522.08822599528,222925.40480096266,7450.4913558463295,2077071.336205537,544462.11184003,88435.35756981418,462882.96951965615,74.15806494101255,2452743.00832669,195130.73910573876,89810.75769716047,427241.8844154488,125531.71550240243,54944.6122606389,46606.33084918447,195038.8868578517,3478475.6797669553,73419.39563821505,2935310.907128108,2566459.7967695463,879489.5953727858,42292.350044523926,483186.98302395426,95513.80063289219,52091.38288183812,814050.0376203208,58199.42523068538,332091.5792938187,798005.3098389903,2350042.544793837,1410845.3791450786,1841.8111596186739,113088.79096124505,4150933.8633303693
2,258923.62162886193,308402.48920182575,40441584.01891026,4108655.079012681,700919.2367990601,60555963.00664304,503238.9851534731,792923.2115131964,423452.94474988413,276234.5188754115,1555565.25651513,376939.87848008843,4346475.617421043,73718.90896598998,3959.5625754681555,11476.720416240074,3920212.2405086886,2628833.3201789893,24868.509797715134,1242845.4448741255,158.9034864394407,4598131.173902998,950848.9557418384,972543.8527438962,511772.2656698208,187665.68359349165,222350.49942916993,1094921.3072215442,2246909.509080939,83415.40005448011,290302.14717564447,110062.406642462,18155050.097667824,30984959.329288226,210291.28424080528,284912.8198323037,2740526.027788713,1594220.0852094316,87156.9307909518,339335.6556527271,690.51095781102,11299.38932728947,2503181.0053826757,258746.2806752605,579427.3008647459,33.00632589385163,1070582.9401836526,392912.0914466907,2941919.2783386293,235273.34357852608,220212.65122197685,1379804.2807165727,555019.8535667707,240747.72812844915,683368.5325520544,354843.0700002117,222871.52705820423,3334774.5468525137,24838.815678553838,432297.2294545546,3290942.867270409,7677815.609815407,1130819.8777518338,2273004.6536007375,479566.7972880702,531112.9014618666,400736.7204595129,469273.18252339936,534807.767635384,397050.99025334837,42077.55680538901,595633.2135566146,475327.918954665,172431.6431808388,61015122.84547494,70.6541326927762,584375.2839516214,1229306.3853420455,926975.2279104043,1210012.02634181,90154.90070154138,1576537.3851706148,1233896.2724481348,238502.92397496666,89546.59164990732,294270.41907543427,1376318.641949455,1461436.1496303906,8358.894346991354,547043.2085138767,421969.37831847096,1590528.6875456492,209368.9825272923,5360170.902303327,2416099.415646173,1182.913187570619,354866.9698407864,4848212.352785299,1045463.7761558876,6190567.350370085,210763.0966371089,15360.399913831841,650919.9872441408,24215.700707119988,2612947.340201697,3168.9660582217757,183801.49803597815,503015.99930885696,800348.1896972011,5552894.527115244,368323.0138213105,118821.2043788751,403845.8435894204,260143.27498751192,797406.916979885,202592.35714771968,211111.2761014744,64965.98694077627,31354.889159705344,5218532.278996814,6931425.929762366,12474746.599776812,152548.7303600203,637755.1177042584,2187.1207024798796,1293964.4394124225,995583.5251790221,268345.24357548956,1296086.1952163375,3314804.0387497214,1390766.904000455,2005766.000718244,221865.51777194545,431975.5834465593,15947571.33415451
3,224403.8657545397,121617.5105664487,2112055.9037931496,6166928.894304809,1166986.0043731018,419635.03873828286,2982637.7590760887,1220948.080910662,385734.53796611907,330029.0218366905,7059859.095893259,4255425.158481035,532028.8934269985,140095.17301015244,5150.077194917698,22492303.143816873,27398942.29852028,3036443.9126513917,766884.998188999,4739745.386633537,20053.326663755266,1533149.5357281703,791122.4251147025,676083.5796439569,624209.1336754878,10309886.27012987,640132.272156752,9675912.190123525,1700416.868770077,757583.4717740897,703875.1667444321,1080734.3284680913,14368999.057263872,4397215.813306043,581515.2684017193,248252.40628173057,78648.93415636668,1848333.0394511523,2640802.2019188083,303579.66685990687,2472.670245629028,13049.415376035584,3079760.454927451,382129.5656850866,4944495.83339696,56.71168276175539,1353431.134242787,15176488.818029542,3987530.450281839,523.6370599884838,3339868.2733291974,844733.0076426022,192511.26520170955,7032180.973465633,534571.2367837855,464770.0612543747,7950821.8164516,10114700.632773273,500077.3814460307,1049367.7892182283,6022140.808192262,7756110.0547965905,4734443.184240693,1125542.3688020578,868.147277101402,1285908.3375912851,201128.96779241133,818693.8471430957,665488.3564815037,83594.89224360631,103260.30414907604,2681016.317247201,705986.9389436631,519782.02648406057,3734422.7385317977,110.41579168355048,865687.031673802,6022622.3769101715,15193754.972449634,25332274.985002518,799397.8421348183,3285146.436950043,1122657.4815312393,2739162.4320359835,1071212.658922195,330674.6919510829,2684296.452036481,5015611.369438889,140035.851408288,811768.2651000641,779578.1062007373,16355784.738299785,730127.9871349917,19685080.14512185,3712361.138375068,410.05371417140475,2499480.5676184082,139885.65205241585,1429143.7684161179,930386.8327990213,1589005.264649528,1119516.4463984773,2028838.296161889,44629.18408939207,4215885.763867372,1285135.2879434852,690485.6601094437,1052457.205079111,3117739.884471412,11980865.442203684,1417438.415554283,590108.4919026336,1518059.0350055292,431327.2812381251,50120438.30793537,547178.2146285702,143273.59737765358,303765.87546610716,298293.6604613099,4766162.722469934,111790.09945512371,754231.6216499393,883136.4168689833,1666543.6669776877,631872.9869370764,24189022.297573008,829098.6551229813,3342488.152806444,2655946.895560366,1515802.2828024593,4406713.714655632,1625515.4097302451,1644969.2145746693,854139.7493476514,350825.65036688093
4,128697.08885031324,88290.49401083744,593037.9445445222,3253985.278752611,52263.4406010539,12363.012432303563,5723441.4215263175,2739525.791350416,338155.7774168678,182291.0909571602,2234823.036574692,1120458.81269475,299883.91996139335,557379.2632552087,3623875.3202425004,340376.6503998875,4826592.385637209,2209166.773017891,1449269.1751359096,286.6862983299126,5051596.811097514,76598.7958501999,307613.14706837805,95233.53302398603,2928762.8297227914,3382159.883872113,532104.1301463732,1792564.117094538,5205323.832517691,44027.00250876227,321448.5027957825,40988.25683201274,11610742.616373627,523780.9144437462,210718.89168122827,85120.41051354859,141265.00165844566,1864753.3792411662,17.545434004033716,1091738.348663601,2.773345354484014,18082559.7092847,121650.26435300363,56299.16721189803,32.963464972250414,15.266632972677398,429449.9482019623,182871.53275225166,621123.1745408614,10875487.589228954,188121.79187230358,266988.55103794934,110155.1265354094,6735199.532481229,704885.2223662976,275941.4651994179,1319561.1487731137,2407804.3118020617,2292254.556929321,308498.1081748547,480928.9003691298,3342290.077674481,2849628.787529822,36987863.48250639,791770.0665112638,560120.4004613794,148826.71442656164,674411.7061409046,64996.013163222444,93303.97575833823,137799.32227535473,139831.1426868792,2080079.8843630005,209778.6793259964,960101.4910642819,666.2704142535979,257096.07496723198,4127043.733452688,58419.402861179944,3456476.8290363783,1423632.0502616307,2193322.343949327,6903719.1095820805,2284879.971511554,920980.443173656,185359.29090403867,577541.4600448768,52732.535364676354,45913.593775268455,1193099.4414323666,1148238.3422555039,7267829.599571809,545617.6659103099,18177849.093577422,2418763.4884939343,532.16432063142,13400672.238183178,2462.631487357745,1376009.8668901199,44700.43107452003,3742884.963115296,237528.5902408466,646223.0417890223,42225.41260378931,1439799.3083539577,564777.9876016052,355752.41339475365,241321.5135508276,118.74381127801446,5801043.731262872,1356.8246062686428,492523.33871832443,179706.83742075856,173386.53554973358,6094993.562907853,72085.33879858669,84665.6357640866,5339800.827750277,152203.88926495207,3925778.0286086327,25043.557357738977,440972.0862344733,1088.6821140250704,269918.9784357232,75.10913379782475,8282781.568898802,2366702.885332073,850465.7214437873,650699.7356769892,829239.5489725786,1603082.9544063702,1132504.5277512097,459312.42179712484,91788.5837791767,32978.28435847885
5,61703.43415141851,64250.52944369178,699830.9278175647,299705.7612875607,457630.5093915886,120874.11135759208,223231.47119468483,313028.97073283576,171890.95971839834,142679.85265001838,768416.2364750624,179772.09372070592,2652841.326148743,9716.854816022857,98002.35196884899,39519.36289238502,1829099.6815934093,1019227.1016206522,329910.4813631093,1062026.1260910253,110820.16533230741,746942.5071497201,465520.2471861032,156653.19163435057,40247.751557863994,361086.4755903477,97370.18329671165,450191.93423791917,709990.5918453091,23933.562115545956,118051.22192313537,127717.3907772841,24328972.31063414,1574032.2687210608,42466.24499046244,39218.77509404941,512801.30332596623,965212.1096545445,42833.901753262195,172005.56255201777,1650.9015668903794,9111.911072584518,1511642.9768604871,128817.28225489621,126202.69088163004,12.336701572704941,340700.63704131613,400854.40134695196,412404.8034324142,505205.6622312954,286989.0460100054,417908.2913910048,87963.89389733243,161542.6025667656,146557.71252046432,10797322.329404831,290228.569394208,2494225.627187617,2189.46726742785,236376.71914519888,253745.68657412982,1956689.6164488557,657093.8646252374,2030894.578328877,306321.3157712503,288541.80598464777,76697.74900904529,141383.3112637252,94704.49651404098,58760.169829229475,124636.85706227632,768855.1466919208,204930.3312223167,1100264.9951436294,1530869.7368289037,80.07901125895671,116817.22918220864,675616.8114134063,1066287.3145946523,408581.0838292362,441357.1454802406,356152.7728090128,1582618.6444154573,47700.92098116484,345470.3544910989,93892.66461595392,704176.4264190438,718715.8245194921,33870.714197189416,243077.46468816607,280817.5118164111,2204824.9225527397,63591.660945619406,2655350.3128218018,2411951.18476837,40421499.13158573,179569.424153234,160129.0960311813,610679.0250075525,1144179.581301522,181630.92320872805,12028.080126951701,619889.7596126823,77131.38502584393,839621.0722746106,3266.8309152855295,64528.703298610344,7457189.112305638,145968.63591094242,2142377.3970044623,276568.19764312916,165603.417403477,1719782.052485046,228141.29033741757,280560.6831225618,71178.80847542477,188411.15917611678,77203.85947503401,33358.791879836215,3275609.0771146063,4922483.954821815,6425427.600841096,21797.12169634569,730044.9733026164,374.22710687577796,579097.92224743,228555.89876949028,163060.3199644781,220637.345973678,396891.3530651496,1291622.4090711654,8371664.567368946,136174.2999127677,70835.1970525871,316897.68636831903
6,39582.60984104792,499506.15375300514,1818852.08947912,986827.404133203,75172.88586536363,443809.31371015613,220971.05962288115,111039.29797249957,437398.55276944855,155448.5667628199,2938305.180496578,229941.52263562198,6832149.035141837,202984.0691329347,102417.22914310885,2618.529570369644,476793.00405397045,2344223.17668826,111104.17896708683,1356122.984589748,299118.2554195781,3130284.4530257694,513346.304833033,461252.4245305696,632037.9764060798,157662.4896496471,256813.21223059145,143365.39262268462,947163.7875961857,27325.695488092373,151361.44503723067,388943.8890666596,167703.58398547213,246900.6477102835,165558.7232611095,125365.69282877959,702024.6954513506,59897.87910107062,179808.33115061565,282907.67948775145,261.1007608259492,81614.3037674532,247596.00343771334,132771.64145472515,70985.21019727808,31639504.00144404,567168.3677590404,5928.706349869824,9444.919484053746,226.13920510242275,185523.12748804648,874910.2284893205,102563.86114124783,82310.09276883549,203612.5513136334,7252.455408964791,50927.23038681131,718848.6835799887,415356.82295344904,589244.9062325687,13574.991895413583,13365078.91729828,1439466.511075975,169354.3648416075,98503.42126714003,171087.51035508903,3933678.089519185,145410.47370101156,1734391.544384603,1035833.5954722026,3202678.368313391,1915609.1605214481,333697.2877467136,399761.52381146624,51965.70064752743,1470.5208063599111,3235604.0193967354,15392959.728793688,594363.7957577518,867.5500558779323,172916.58816369367,1269846.1366340984,572668.8542384173,87979.83095543619,133824.27279482022,146254.6543147025,2977128.2684964743,381311.3622335708,78056.53678709887,297791.99610739097,89273.9930636804,246002.95025799924,100242.24679529984,422460.61780456477,146526.21116287663,1578292.78315403,59777.395176249935,2570999.9432753595,365449.07183922594,13279.504501687192,23232.892076428292,224732.40473025286,271539.430538181,9.244725464488061,462429.7636280826,13698.795719301765,153096.5039460921,199929.40315434398,1657068.7265890646,798548.972018691,11707.299079098342,631859.2010691514,4219413.853823206,464238.3790454709,353244.7639350078,199384.02379424285,118193.79950347471,192071.66240788702,31685473.217736047,3245538.6784178214,83626.00792511803,116262.07876697229,136846.22075322608,30621.359332329997,150374.92827886646,3744.233824701667,768795.5519803634,125921.9068227956,328970.25365920865,607272.8909778874,756069.5504118568,617467.2323820057,117872.51788301663,143258.67333477203,7135.406522763218
7,207979.79672991275,258716.51536600315,1484273.0042693466,3567666.0021480327,2018815.9946778845,9056.128031846765,12040563.30890618,5985782.576243656,517635.8262129965,312903.08647606417,12393264.049094824,15780.939608394874,328235.9038298326,481136.5121664062,148083.4597278518,3437038.487071102,5718227.835096617,4211955.454604735,2132654.993565029,2931321.251760066,119656.88609097649,1378611.3988197618,861533.549097528,407717.03620831785,4374439.656827709,21042861.59055445,1165649.6875176192,13457142.765987929,21302.148866717624,1591971.1268110266,3025297.1384752053,1647369.498402118,16435050.725605462,9411544.56882389,1449093.1907922693,198158.47186505987,603004.1806969614,1198768.0357955655,6965.003779547671,259589.50361745947,619.6323747921498,3255405.5937083005,1056072.0318261571,449469.0986308345,534774.0222362168,78.81619104369848,1839911.9755075932,4272966.614970376,4531942.955789099,86131261.62238309,1785003.4583401335,438508.2979070917,184147.4871681662,26897241.612554967,186284.8664026598,194388.3567133259,8870487.216307383,12649430.42855333,2719249.0148875,892820.9328138352,11464602.883515855,4831050.907127458,3526085.046754269,7272440.664622826,1819674.9820961154,995146.2187832403,127035.3281396644,392595.27601037145,11356.798820284252,189995.31317828747,129327.33808721736,3433101.2662546,246247.4267242051,390951.71515742724,1893066.694663731,408.9878209988005,679154.6333295635,4908651.662545025,8563678.65008696,3721437.319837521,1796037.8009203202,1833781.915802918,1736583.6497913895,965418.502962416,1881859.642385172,360299.0929456066,1220277.8449853663,289959.84152392065,100773.09549790445,3437011.368336738,2244859.9033741523,13001141.566470427,2069588.1158560491,18916849.84275357,4276385.9066742025,850.645073410067,717726.1007941235,98028.29577550241,4955062.636002451,1513166.6611990533,3583622.9936974463,2042456.1879656014,4020888.1737512383,49199.277394720346,5661358.184657736,5132.873087484609,2370117.7065301263,3290987.2952778293,213472.9873183077,9600669.039374249,2072.0700940191537,1120351.9549067295,384923.31426145404,478070.329286731,2157.506430029983,502683.3815581918,1908412.7728291042,406.4992647812203,401910.4152387312,3923754.5201098546,2973176.3759261994,1122253.1767504127,2329759.911484482,3662067.1081404695,9.396130808885639e-05,13859495.136290358,3111964.9092048625,3607335.7567556105,1077703.580412378,1211433.3348507262,3629123.2667833413,1067519.6390777857,1463773.7952319663,148216.50847754898,60416.551278222374
8,65003.73455780764,454640.7973321519,158584.56039924722,986219.4734972572,27040.83070592492,453685.27232622507,204652.9521301372,155968.72604867598,49201.46208793405,31294.609220375944,78608.46413817555,125788.97047722722,3044632.456908995,32031.527932478366,16824.708919863402,283.3709855420153,337163.8744351747,184443.12994885223,2344.243023642179,4440896.442996959,241210.81613211997,185827.9243493817,117610.96998639015,69060.43271556924,3277.098437932117,34820.837934969364,12645.724815674472,156945.0210591053,271414.2688887891,97345.0710852824,16858.158853847617,183446.37880380976,75853.30731860588,146004.82119433233,32082.684584138817,33544.817036328255,364877.7959985613,1993.6576908395446,56605.22171068052,160638.99851836823,2445.323926114366,74493.47134378074,1297928.5264686984,45710.02724266571,26750.729771819264,5632093.314249144,162213.75033202535,3021.521576876997,40912.17449280687,285.5298383672815,10102.493620450905,148485.40532811734,29503.5144351928,6160.328541173702,207347.34398929353,1803.603339066759,686.3697814929598,118694.7051579286,10910.353040372744,72883.90725915313,48375.284931076436,487613.57136103074,351494.1756461895,111594.51760109514,9026.318651988622,89292.44662562729,1261049.5989339862,59513.82148144866,169446.57155675738,3536923.276867685,1149331.3186574993,399293.98094354843,80677.25093393831,36180.714407153006,400898.96540061396,21589500.119177863,70.40452215870525,1377102.5825354485,46806.23475752497,947169.454548468,152.74091671717846,1247374.720022153,20585.938280584218,8187.759070979167,4412.305613159771,86393.26241493203,435774.3668038467,283838.12708314176,52491.76914665481,82730.93127824183,19745.65145243176,172672.3643983123,44350.59003064579,780317.6958205496,168018.14546444378,1385906.4470670158,2806.4585718316516,885088.4657887185,42802.57960468578,37662.95069877727,48780.81394530139,14297.245438569169,42985.93336916963,3029571.0538044865,478984.569048682,683178.0707130799,59209.20407487557,95260.5322703085,71.83326395927371,366980.9258890331,14289.246910245658,268589.6442797049,599185.2303991904,88898.45974048544,436322.02194142697,32433.33212022115,14585.988798029399,42030.693887338595,33.46205221285623,436950.7603708451,424097.2500130731,35793.527397687394,24922.887701805368,79120.446936948,28498.272280686604,144839.45858888183,176990.761867998,14227.734913328799,79587.45312487644,299770.91237428196,87732.08817673575,32190.126539026896,9513.952836119706,10672.80887966615,1605.553232201338
9,1896132.5227306187,2412946.579820716,2216530.2561039072,581908.7115473833,106724.96267027427,2390018.341529559,153608.81667089052,78336.385694031,151302.73472064812,74583.14771935415,992649.534722545,39328.83364570817,7169.840583972369,19047.637030723825,273.08422198804794,425.25423817015576,1401226.7977077896,298047.5330088564,26296.613584431725,434939.9361301004,1605.6965614494975,1544404.247611166,107871.51138812298,106355.45482114011,86450.04165839407,74923.97926744427,39832.408792596696,418850.77081510815,309082.19910218095,11390.001287290466,24712.99307973943,32598.66838697081,3215822.99298489,3070904.0570919504,14334.109585486993,17099.16835013237,214397.40842654128,227430.08222844067,2208.842491606238,100313.8556169545,1800.6838594698509,204.16978012060315,1630491.1878503799,59361.61671111469,88469.86636991492,7996686.299017326,174106.1219662207,317623.5846030958,575142.0529014885,75678.97154190876,44042.95517899924,316258.5035057063,177230.81928525274,32234.493267099915,71708.86572042179,166549.42413187766,75174.9893694251,781617.7264689229,1683.8988178718473,11036.113164561231,568169.4323391283,13129568.234175138,468786.2066990211,361694.813740049,50379.78651201115,138954.43473381127,2182169.5851074127,34157.121539677995,17191.021227435223,44.84019740376383,18867.32335237679,339709.8772363897,82407.50852552525,54817.995859628005,9345170.550550707,71.8901786421237,813952.4688146879,6850798.878776758,218828.9389218661,888691.9101943412,20736.560146740172,147997.97744375927,420371.047858225,49520.22584185398,16496.96382789439,99859.14236691431,2882.859643209589,342052.88619461725,24456.779745503816,175813.6762812273,232618.39603030332,721616.3265968885,127388.65199665377,1432222.2184582218,375159.33910449373,1851.092253159535,74251.89091603924,1196426.445818796,324615.90829599655,729519.727680133,71127.85071454757,39658.57522594562,439613.61911476235,51344676.7907178,872623.1504706525,3737.9635669821373,30640.64198662777,10552020.322738249,4565858.417024121,946100.9774667883,76593.81014264902,19997.692403850546,1031190.5102214451,176472.359928567,568236.4399354805,41949.50836510617,8040.2528134821,8625.703784718822,17967657.540405568,1386070.201829686,672124.3619060701,1207255.795156001,49230.25051601084,189232.9279595585,3738.971924036913,440438.2059537425,229307.3530529638,216669.16175868612,375647.6651445527,311033.66857595183,413598.0054223098,339672.6654903947,40098.120935788225,128053.03959215149,2794145.8385909107
