,0,1,2,3,4,5,6,7,8,9,10,11
-1971.778086_2745.402956,0.00010913098106974681,0.0002000255349571686,0.10338115883889122,0.08903025883850148,0.00011542260244616534,0.12274577761188968,0.00028978669677939703,0.28549254488649395,0.006586948907385709,0.021210424295216336,0.06754314986339462,0.30329537094297454
-1971.778086_2845.402956,0.0001402227775574493,0.00983329027600595,0.08908729459254487,0.16597864227489176,0.014687396467981851,0.021338531837892475,0.01467582654047796,0.24604956954243648,0.00010730716267288559,0.09052683809450499,0.15740273517676182,0.19017234525627136
-1971.778086_2945.402956,0.07348284694898775,0.0021853996463138048,0.33935448540024304,0.18690521185264516,0.028944966843865137,0.10667735762262236,0.012962568643208067,0.0036032811194607033,7.579998766063414e-05,0.0726451114922795,0.031398193046195025,0.14176477739651888
-1971.778086_3045.402956,0.08344591371093805,0.002719092338038587,3.968936073462282e-05,0.008098149774649286,0.0023958942144068464,4.164321212318849e-05,0.00357694576142326,0.07604447279430593,5.058571991409145e-05,0.09566450337704642,0.1883351277387608,0.539587981997659
-1971.778086_3145.402956,0.0006773716537708687,0.0050968846659144775,5.421851881793155e-05,0.0758158517971183,0.0015928615269789727,5.67037595885408e-05,0.0707327107885588,0.00028887465945557803,5.2838961575213807e-05,0.5467246097731128,0.13358806778251817,0.16531900611259037
-1971.778086_3245.402956,0.17817489848219206,0.03411814198620333,0.013889486029252763,0.07234805395702927,0.0007352400545402949,0.14320965630807156,0.010047344405694037,0.09502629521482979,3.813794133937957e-05,0.07095724906308638,0.06457378548945547,0.31688171106830576
-1971.778086_3345.402956,0.3571337332633858,0.029853280934219528,8.69044594700548e-05,0.14039093331984753,0.043872842103357824,0.007645553962906277,0.003588717311624273,0.016321506791846737,6.995753662450934e-05,0.00010086105138969279,0.15735847061457517,0.2435772386507526
-1971.778086_3445.402956,0.5590464654855642,0.031307699450817295,0.00831999427316067,0.016785533164280473,0.009038413298888614,0.04894682006495037,8.08293305196881e-05,0.09054837934562912,0.000961522382608017,3.391254562943108e-05,0.09851708117779587,0.13641334948015602
-1971.778086_3545.402956,0.26895812270749114,0.00727160130932348,0.11798785987230666,0.14584112546997796,0.08550341567568619,0.007230132797842317,0.010433175696636888,0.09120884122771715,6.832730439389678e-05,0.009105564659582066,0.12570508282983553,0.1306867504492069
-1971.778086_3645.402956,0.3433130612866174,0.024208408106971186,0.05468868197045596,0.08480850128135536,0.14423550255994141,0.014747481911148426,0.014541288482827458,0.14012311583941384,6.778970940089516e-05,0.06809763438118022,0.007362283878218868,0.10380625059246891
