"gene_from","gene_to","ppi","corr","abs_corr","n_pairwise","p_value","p_adj","method","keep"
"Pdgfra","Rgs5",0.431,0.100064130923569,0.100064130923569,3072,2.7317499966199e-08,3.08085542749784e-08,"spearman",TRUE
"Pdgfra","Sox6",0.489,0.377137567187469,0.377137567187469,3072,2.0096181967117e-104,4.03065467863199e-104,"spearman",TRUE
"Pgr","Rxfp1",0.617,0.531624991057036,0.531624991057036,3072,1.00629456963882e-223,5.92036638470838e-223,"spearman",TRUE
"Pgr","Prlr",0.639,0.815359558574123,0.815359558574123,3072,0,0,"spearman",TRUE
"Pnoc","Tacr1",0.462,0.490078450012287,0.490078450012287,3072,2.29779588705228e-185,1.0398999334993e-184,"spearman",TRUE
"Pou3f2","Sox8",0.42,0.0794522859234087,0.0794522859234087,3072,1.03910679512953e-05,1.12862984209454e-05,"spearman",TRUE
"Pou3f2","Slc17a7",0.537,0.0702325682146348,0.0702325682146348,3072,9.78302580838295e-05,0.000104332571309945,"spearman",TRUE
"Pou3f2","Sox4",0.425,0.361686040358254,0.361686040358254,3072,1.36444896187381e-95,2.5619706571354e-95,"spearman",TRUE
"Rgs2","Rgs5",0.554,0.0826037831561924,0.0826037831561924,3072,4.55424627998742e-06,4.97724129051257e-06,"spearman",TRUE
"Scgn","Syt2",0.431,0.116620532725725,0.116620532725725,3072,8.97569919933497e-11,1.03882682536565e-10,"spearman",TRUE
"Scgn","Slc17a7",0.448,0.212235889069499,0.212235889069499,3072,1.26759090334128e-32,1.69492268514952e-32,"spearman",TRUE
"Slc17a6","Slc17a8",0.903,0.182329986535282,0.182329986535282,3072,2.26313060101479e-24,2.8945112397037e-24,"spearman",TRUE
"Slc17a6","Slc18a2",0.965,0.426016488400822,0.426016488400822,3072,1.0472698809061e-135,2.93401799968137e-135,"spearman",TRUE
"Slc17a6","Tacr3",0.417,0.484197891884228,0.484197891884228,3072,2.36787786280197e-180,1.00706130791457e-179,"spearman",TRUE
"Slc17a6","Tacr1",0.596,0.497611308125836,0.497611308125836,3072,6.23490323862696e-192,2.9742173557234e-191,"spearman",TRUE
"Slc17a6","Syt2",0.577,0.36711354524006,0.36711354524006,3072,1.22398599849626e-98,2.36102217196273e-98,"spearman",TRUE
"Slc17a6","Slc17a7",0.937,0.156741386538897,0.156741386538897,3072,2.37244965916127e-18,2.93850782345239e-18,"spearman",TRUE
"Slc17a7","Slc17a8",0.903,0.119699567097212,0.119699567097212,3072,2.82022000186356e-11,3.29648232005906e-11,"spearman",TRUE
"Slc17a7","Syt4",0.457,0.231901265195587,0.231901265195587,3072,8.70481174314305e-39,1.18640870476042e-38,"spearman",TRUE
"Slc17a7","Slc18a2",0.952,0.150406558378401,0.150406558378401,3072,5.26137958024792e-17,6.47131356037462e-17,"spearman",TRUE
"Slc17a7","Synpr",0.54,0.191991238066133,0.191991238066133,3072,6.82739680551454e-27,8.95937201615848e-27,"spearman",TRUE
"Slc17a7","Syt2",0.603,0.0671534296748182,0.0671534296748182,3072,0.000195539131595209,0.000207907570641894,"spearman",TRUE
"Slc17a8","Tacr1",0.507,0.118107725004389,0.118107725004389,3072,5.1503091604806e-11,5.98045767647912e-11,"spearman",TRUE
"Slc17a8","Syt2",0.531,0.0439935378507791,0.0439935378507791,3072,0.014746007566231,0.0152649286536057,"spearman",TRUE
"Slc17a8","Slc18a2",0.954,0.282405225110183,0.282405225110183,3072,1.992166504453e-57,3.0311843796203e-57,"spearman",TRUE
"Syt2","Syt4",0.513,0.296458881826139,0.296458881826139,3072,2.28534725446635e-63,3.58545591478499e-63,"spearman",TRUE
"Syt2","Tacr3",0.416,0.381999403668836,0.381999403668836,3072,2.64825758826794e-107,5.37261453252058e-107,"spearman",TRUE
"Tacr1","Tacr3",0.421,0.455486249335466,0.455486249335466,3072,3.09280749654986e-157,1.02033742643187e-156,"spearman",TRUE
